epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1132,1.15587,4.40323,0.9184,0.00255,1,0.01296,0.00683,1.51497,3.95699,1.10213,8e-05,8e-05,8e-05
2,57.5019,1.02669,3.00501,0.95811,0.00255,1,0.69985,0.49325,1.12809,3.66856,0.85769,0.00017406,0.00017406,0.00017406
3,85.5882,0.83201,2.30768,0.93502,0.00255,1,0.91036,0.58808,1.12021,3.45456,0.84986,0.00026152,0.00026152,0.00026152
4,115.118,0.88631,1.88217,0.92104,0.00255,1,0.85946,0.59631,0.99573,3.48225,0.84925,0.00034238,0.00034238,0.00034238
5,145.411,0.8448,1.66427,0.87969,0.00255,1,0.91792,0.47765,0.91809,3.63091,0.88058,0.00041664,0.00041664,0.00041664
6,203.074,0.64112,3.54399,0.71103,0.00255,1,0.90881,0.44493,0.79465,3.56427,0.86242,0.0004843,0.0004843,0.0004843
7,258.793,0.91577,1.53844,0.88605,0.00255,1,0.20509,0.1171,0.73879,3.52422,0.85682,0.00054536,0.00054536,0.00054536
8,293.399,0.63467,2.85877,0.71008,0.00255,1,0.0374,0.02424,0.60602,3.36031,0.84529,0.00059982,0.00059982,0.00059982
9,326.107,0.80856,1.36564,0.94421,0.00255,1,0.01695,0.01133,0.60418,3.45416,0.84345,0.00064768,0.00064768,0.00064768
10,355.291,0.83171,1.3606,0.8635,0.00255,1,0.02712,0.01635,0.62349,3.432,0.86243,0.00068894,0.00068894,0.00068894
11,387.788,0.81744,1.19295,0.86672,0.00255,1,0.03306,0.01858,0.60946,3.40581,0.92088,0.0007236,0.0007236,0.0007236
12,418.898,0.85179,1.30764,0.93111,0.00255,1,0.47533,0.41469,0.64144,3.25838,0.86083,0.00075166,0.00075166,0.00075166
13,448.123,0.8209,1.38232,0.92628,0.00255,1,0.92756,0.79674,0.54861,3.17024,0.83939,0.00077312,0.00077312,0.00077312
14,489.427,0.81791,1.2961,0.92935,0.01034,1,0.995,0.87822,0.54911,2.95269,0.83797,0.00078798,0.00078798,0.00078798
15,587.559,0.72907,1.1291,0.88229,0.95245,1,0.995,0.83873,0.66042,2.73555,0.85288,0.00079624,0.00079624,0.00079624
16,626.868,0.67605,2.74559,0.7288,0.98431,1,0.995,0.87467,0.56197,2.66335,0.84719,0.0007979,0.0007979,0.0007979
17,653.973,0.70471,1.12908,0.87378,1,0.85214,0.995,0.85698,0.66669,2.63565,0.87823,0.00079296,0.00079296,0.00079296
18,683.894,0.74466,1.35842,0.89837,1,0.83935,0.995,0.88573,0.60017,2.45134,0.8528,0.00078142,0.00078142,0.00078142
19,710.968,0.73908,1.14305,0.87715,0.97899,1,0.995,0.88684,0.54812,2.27858,0.83648,0.00076328,0.00076328,0.00076328
20,738.601,0.57622,2.58918,0.7189,0.97506,1,0.995,0.86594,0.56005,2.03705,0.84421,0.00073854,0.00073854,0.00073854
21,768.46,0.70973,1.59377,0.90272,0.9735,1,0.995,0.8848,0.54521,2.03505,0.84416,0.00068,0.00068,0.00068
22,805.541,0.49899,2.6151,0.70692,0.9521,1,0.995,0.86926,0.58641,2.06679,0.84854,0.000614,0.000614,0.000614
23,839.025,0.66561,1.48303,0.87744,0.95451,1,0.995,0.85807,0.62705,2.03068,0.8547,0.000548,0.000548,0.000548
24,878.068,0.66327,1.42163,0.88281,0.98818,1,0.995,0.85842,0.58747,1.71857,0.84929,0.000482,0.000482,0.000482
25,907.682,0.69039,1.41979,0.85432,0.99043,1,0.995,0.86428,0.58685,1.57378,0.84498,0.000416,0.000416,0.000416
26,957.965,0.52594,2.50435,0.66489,0.9926,1,0.995,0.85457,0.60623,1.5351,0.84514,0.00035,0.00035,0.00035
27,996.818,0.49686,2.44188,0.6822,0.99391,1,0.995,0.85786,0.61486,1.45934,0.84593,0.000284,0.000284,0.000284
28,1032.19,0.64244,1.33416,0.84085,0.99489,1,0.995,0.89619,0.54911,1.28732,0.83452,0.000218,0.000218,0.000218
29,1063.27,0.46023,2.43072,0.67818,0.99514,1,0.995,0.89825,0.53822,1.21905,0.83233,0.000152,0.000152,0.000152
30,1094.05,0.50012,2.46779,0.64828,0.99547,1,0.995,0.90254,0.53562,1.17519,0.83215,8.6e-05,8.6e-05,8.6e-05
